code,learning_area_code,learning_area,level,component_code,component,strand_code,strand,content
TEC5-PRA-PLA,TEC,Technology,5,PRA,Technological Practice,PLA,Planning for practice,Analyse their own and others’ planning practices to inform the selection and use of planning tools. Use these to support and justify planning decisions (including those relating to the management of resources) that will see the development of an outcome through to completion.
TEC5-PRA-BRI,TEC,Technology,5,PRA,Technological Practice,BRI,Brief development,Justify the nature of an intended outcome in relation to the need or opportunity. Describe specifications that reflect key stakeholder feedback and that will inform the development of an outcome and its evaluation.
TEC5-PRA-DEV,TEC,Technology,5,PRA,Technological Practice,DEV,Outcome development and evaluation,Analyse their own and others’ outcomes to inform the development of ideas for feasible outcomes. Undertake ongoing functional modelling and evaluation that takes account of key stakeholder feedback and trialling in the physical and social environments. Use the information gained to select and develop the outcome that best addresses the specifications. Evaluate the final outcome’s fitness for purpose against the brief.
TEC5-KNO-MOD,TEC,Technology,5,KNO,Technological Knowledge,MOD,Technological modelling,"Understand how evidence, reasoning, and decision making in functional modelling contribute to the development of design concepts and how prototyping can be used to justify ongoing refinement of outcomes."
TEC5-KNO-PRO,TEC,Technology,5,KNO,Technological Knowledge,PRO,Technological products,"Understand how materials are selected, based on desired performance criteria."
TEC5-KNO-SYS,TEC,Technology,5,KNO,Technological Knowledge,SYS,Technological systems,Understand the properties of subsystems within technological systems.
TEC5-NAT-TEC,TEC,Technology,5,NAT,Nature of Technology,TEC,Characteristics of technology,Understand how people’s perceptions and acceptance of technology impact on technological developments and how and why technological knowledge becomes codified.
TEC5-NAT-OUT,TEC,Technology,5,NAT,Nature of Technology,OUT,Characteristics of technological outcomes,Understand that technological outcomes are fit for purpose in terms of time and context. Understand the concept of malfunction and how “failure” can inform future outcomes.
TEC6-PRA-PLA,TEC,Technology,6,PRA,Technological Practice,PLA,Planning for practice,Critically analyse their own and others’ past and current planning practices in order to make informed selection and effective use of planning tools. Use these to support and justify ongoing planning that will see the development of an outcome through to completion.
TEC6-PRA-BRI,TEC,Technology,6,PRA,Technological Practice,BRI,Brief development,Justify the nature of an intended outcome in relation to the need or opportunity and justify specifications in terms of key stakeholder feedback and wider community considerations.
TEC6-PRA-DEV,TEC,Technology,6,PRA,Technological Practice,DEV,Outcome development and evaluation,"Critically analyse their own and others’ outcomes to inform the development of ideas for feasible outcomes. Undertake ongoing experimentation and functional modelling, taking account of stakeholder feedback and trialling in the physical and social environments. Use the information gained to select, justify, and develop a final outcome. Evaluate this outcome’s fitness for purpose against the brief and justify the evaluation using feedback from stakeholders."
TEC6-KNO-MOD,TEC,Technology,6,KNO,Technological Knowledge,MOD,Technological modelling,Understand the role and nature of evidence and reasoning when managing risk through technological modelling.
TEC6-KNO-PRO,TEC,Technology,6,KNO,Technological Knowledge,PRO,Technological products,"Understand how materials are formed, manipulated, and transformed in different ways, depending on their properties, and understand the role of material evaluation in determining suitability for use in product development."
TEC6-KNO-SYS,TEC,Technology,6,KNO,Technological Knowledge,SYS,Technological systems,"Understand the implications of subsystems for the design, development, and maintenance of technological systems."
TEC6-NAT-TEC,TEC,Technology,6,NAT,Nature of Technology,TEC,Characteristics of technology,Understand the interdisciplinary nature of technology and the implications of this for maximising possibilities through collaborative practice.
TEC6-NAT-OUT,TEC,Technology,6,NAT,Nature of Technology,OUT,Characteristics of technological outcomes,Understand that some technological outcomes can be perceived as both product and system. Understand how these outcomes impact on other outcomes and practices and on people’s views of themselves and possible futures.
TEC7-PRA-PLA,TEC,Technology,7,PRA,Technological Practice,PLA,Planning for practice,Critically analyse their own and others’ past and current planning and management practices in order to develop and employ project management practices that will ensure the effective development of an outcome to completion.
TEC7-PRA-BRI,TEC,Technology,7,PRA,Technological Practice,BRI,Brief development,Justify the nature of an intended outcome in relation to the issue to be resolved and justify specifications in terms of key stakeholder feedback and wider community considerations.
TEC7-PRA-DEV,TEC,Technology,7,PRA,Technological Practice,DEV,Outcome development and evaluation,"Critically analyse their own and others’ outcomes and evaluative practices to inform the development of ideas for feasible outcomes. Undertake a critical evaluation that is informed by ongoing experimentation and functional modelling, stakeholder feedback, and trialling in the physical and social environments. Use the information gained to select, justify, and develop an outcome. Evaluate this outcome’s fitness for purpose against the brief. Justify the evaluation, using feedback from stakeholders and demonstrating a critical understanding of the issue."
TEC7-KNO-MOD,TEC,Technology,7,KNO,Technological Knowledge,MOD,Technological modelling,Understand how the “should” and “could” decisions in technological modelling rely on an understanding of how evidence can change in value across contexts and how different tools are used to ascertain and mitigate risk.
TEC7-KNO-PRO,TEC,Technology,7,KNO,Technological Knowledge,PRO,Technological products,"Understand the concepts and processes employed in materials evaluation and the implications of these for design, development, maintenance, and disposal of technological products."
TEC7-KNO-SYS,TEC,Technology,7,KNO,Technological Knowledge,SYS,Technological systems,"Understand the concepts of redundancy and reliability and their implications for the design, development, and maintenance of technological systems."
TEC7-NAT-TEC,TEC,Technology,7,NAT,Nature of Technology,TEC,Characteristics of technology,Understand the implications of ongoing contestation and competing priorities for complex and innovative decision making in technological development.
TEC7-NAT-OUT,TEC,Technology,7,NAT,Nature of Technology,OUT,Characteristics of technological outcomes,Understand that technological outcomes are a resolution of form and function priorities and that malfunction affects how people view and accept outcomes.
TEC8-PRA-PLA,TEC,Technology,8,PRA,Technological Practice,PLA,Planning for practice,Critically analyse their own and others’ past and current planning and management practices in order to develop and employ project management practices that will ensure the efficient development of an outcome to completion.
TEC8-PRA-BRI,TEC,Technology,8,PRA,Technological Practice,BRI,Brief development,Justify the nature of an intended outcome in relation to the context and the issue to be resolved. Justify specifications in terms of key stakeholder feedback and wider community considerations.
TEC8-PRA-DEV,TEC,Technology,8,PRA,Technological Practice,DEV,Outcome development and evaluation,"Critically analyse their own and others’ outcomes and fitness-for-purpose determinations in order to inform the development of ideas for feasible outcomes. Undertake a critical evaluation that is informed by ongoing experimentation and functional modelling, stakeholder feedback, trialling in the physical and social environments, and an understanding of the issue as it relates to the wider context. Use the information gained to select, justify, and develop an outcome. Evaluate this outcome’s fitness for purpose against the brief. Justify the evaluation, using feedback from stakeholders and demonstrating a critical understanding of the issue that takes account of all contextual dimensions."
TEC8-KNO-MOD,TEC,Technology,8,KNO,Technological Knowledge,MOD,Technological modelling,"Understand the role of technological modelling as a key part of technological development, justifying its importance on moral, ethical, sustainable, cultural, political, economic, and historical grounds."
TEC8-KNO-PRO,TEC,Technology,8,KNO,Technological Knowledge,PRO,Technological products,"Understand the concepts and processes employed in materials development and evaluation and the implications of these for design, development, maintenance, and disposal of technological products."
TEC8-KNO-SYS,TEC,Technology,8,KNO,Technological Knowledge,SYS,Technological systems,"Understand operational parameters and their role in the design, development, and maintenance of technological systems."
TEC8-NAT-TEC,TEC,Technology,8,NAT,Nature of Technology,TEC,Characteristics of technology,"Understand the implications of technology as intervention by design and how interventions have consequences, known and unknown, intended and unintended."
TEC8-NAT-OUT,TEC,Technology,8,NAT,Nature of Technology,OUT,Characteristics of technological outcomes,"Understand how technological outcomes can be interpreted and justified as fit for purpose in their historical, cultural, social, and geographical locations."
SOC1-SOC-1,SOC,Social Sciences,1,SOC,Social Studies,1,,Understand how belonging to groups is important for people.
SOC1-SOC-2,SOC,Social Sciences,1,SOC,Social Studies,2,,Understand how people have different roles and responsibilities as part of their participation in groups.
SOC1-SOC-3,SOC,Social Sciences,1,SOC,Social Studies,3,,Understand how the past is important to people.
SOC1-SOC-4,SOC,Social Sciences,1,SOC,Social Studies,4,,Understand how places in New Zealand are significant for individuals and groups.
SOC1-SOC-5,SOC,Social Sciences,1,SOC,Social Studies,5,,Understand how the cultures of people in New Zealand are expressed in their daily lives.
SOC2-SOC-1,SOC,Social Sciences,2,SOC,Social Studies,1,,"Understand that people have social, cultural, and economic roles, rights, and responsibilities."
SOC2-SOC-2,SOC,Social Sciences,2,SOC,Social Studies,2,,Understand how people make choices to meet their needs and wants.
SOC2-SOC-3,SOC,Social Sciences,2,SOC,Social Studies,3,,"Understand how cultural practices reflect and express peoples’ customs, traditions, and values."
SOC2-SOC-4,SOC,Social Sciences,2,SOC,Social Studies,4,,Understand how time and change affect peoples’ lives.
SOC2-SOC-5,SOC,Social Sciences,2,SOC,Social Studies,5,,Understand how places influence people and people influence places.
SOC2-SOC-6,SOC,Social Sciences,2,SOC,Social Studies,6,,Understand how people make significant contributions to New Zealand’s society.
SOC2-SOC-7,SOC,Social Sciences,2,SOC,Social Studies,7,,Understand how the status of Màori as tangata whenua is significant for communities in New Zealand.
SOC3-SOC-1,SOC,Social Sciences,3,SOC,Social Studies,1,,Understand how groups make and implement rules and laws.
SOC3-SOC-2,SOC,Social Sciences,3,SOC,Social Studies,2,,Understand how cultural practices vary but reflect similar purposes.
SOC3-SOC-3,SOC,Social Sciences,3,SOC,Social Studies,3,,Understand how people view and use places differently.
SOC3-SOC-4,SOC,Social Sciences,3,SOC,Social Studies,4,,Understand how people make decisions about access to and use of resources.
SOC3-SOC-5,SOC,Social Sciences,3,SOC,Social Studies,5,,Understand how people remember and record the past in different ways.
SOC3-SOC-6,SOC,Social Sciences,3,SOC,Social Studies,6,,Understand how early Polynesian and British migrations to New Zealand have continuing significance for tangata whenua and communities.
SOC3-SOC-7,SOC,Social Sciences,3,SOC,Social Studies,7,,Understand how the movement of people affects cultural diversity and interaction in New Zealand.
SOC4-SOC-1,SOC,Social Sciences,4,SOC,Social Studies,1,,Understand how the ways in which leadership of groups is acquired and exercised have consequences for communities and societies.
SOC4-SOC-2,SOC,Social Sciences,4,SOC,Social Studies,2,,Understand how people pass on and sustain culture and heritage for different reasons and that this has consequences for people.
SOC4-SOC-3,SOC,Social Sciences,4,SOC,Social Studies,3,,"Understand how exploration and innovation create opportunities and challenges for people, places, and environments."
SOC4-SOC-4,SOC,Social Sciences,4,SOC,Social Studies,4,,Understand that events have causes and effects.
SOC4-SOC-5,SOC,Social Sciences,4,SOC,Social Studies,5,,Understand how producers and consumers exercise their rights and meet their responsibilities.
SOC4-SOC-6,SOC,Social Sciences,4,SOC,Social Studies,6,,Understand how formal and informal groups make decisions that impact on communities.
SOC4-SOC-7,SOC,Social Sciences,4,SOC,Social Studies,7,,Understand how people participate individually and collectively in response to community challenges.
SOC5-SOC-1,SOC,Social Sciences,5,SOC,Social Studies,1,,"Understand how systems of government in New Zealand operate and affect people’s lives, and how they compare with another system."
SOC5-SOC-2,SOC,Social Sciences,5,SOC,Social Studies,2,,Understand how the Treaty of Waitangi is responded to differently by people in different times and places.
SOC5-SOC-3,SOC,Social Sciences,5,SOC,Social Studies,3,,Understand how cultural interaction impacts on cultures and societies.
SOC5-SOC-4,SOC,Social Sciences,5,SOC,Social Studies,4,,Understand that people move between places and how this has consequences for the people and the places.
SOC5-SOC-5,SOC,Social Sciences,5,SOC,Social Studies,5,,"Understand how economic decisions impact on people, communities, and nations."
SOC5-SOC-6,SOC,Social Sciences,5,SOC,Social Studies,6,,Understand how people’s management of resources impacts on environmental and social sustainability.
SOC5-SOC-7,SOC,Social Sciences,5,SOC,Social Studies,7,,Understand how the ideas and actions of people in the past have had a significant impact on people’s lives.
SOC5-SOC-8,SOC,Social Sciences,5,SOC,Social Studies,8,,"Understand how people seek and have sought economic growth through business, enterprise, and innovation."
SOC5-SOC-9,SOC,Social Sciences,5,SOC,Social Studies,9,,Understand how people define and seek human rights.
SOC6-SOC-IND,SOC,Social Sciences,6,SOC,Social Studies,IND,,"Understand how individuals, groups, and institutions work to promote social justice and human rights."
SOC6-SOC-CUL,SOC,Social Sciences,6,SOC,Social Studies,CUL,,Understand how cultures adapt and change and that this has consequences for society.
SOC6-HIS-CAS,SOC,Social Sciences,6,HIS,History,CAS,,Understand how the causes and consequences of past events that are of significance to New Zealanders shape the lives of people and society.
SOC6-HIS-PRE,SOC,Social Sciences,6,HIS,History,PRE,,Understand how people’s perspectives on past events that are of significance to New Zealanders differ.
SOC6-GEO-NAT,SOC,Social Sciences,6,GEO,Geography,NAT,,Understand that natural and cultural environments have particular characteristics and how environments are shaped by processes that create spatial patterns.
SOC6-GEO-INT,SOC,Social Sciences,6,GEO,Geography,INT,,Understand how people interact with natural and cultural environments and that this interaction has consequences.
SOC6-ECO-RES,SOC,Social Sciences,6,ECO,Economics,RES,,"Understand how, as a result of scarcity, consumers, producers, and government make choices that affect New Zealand society."
SOC6-ECO-DIF,SOC,Social Sciences,6,ECO,Economics,DIF,,Understand how the different sectors of the New Zealand economy are interdependent.
SOC7-SOC-COM,SOC,Social Sciences,7,SOC,Social Studies,COM,,"Understand how communities and nations meet their responsibilities and exercise their rights in local, national, and global contexts."
SOC7-SOC-CON,SOC,Social Sciences,7,SOC,Social Studies,CON,,Understand how conflicts can arise from different cultural beliefs and ideas and be addressed in different ways with differing outcomes.
SOC7-HIS-HIS,SOC,Social Sciences,7,HIS,History,HIS,,Understand how historical forces and movements have influenced the causes and consequences of events of significance to New Zealanders.
SOC7-HIS-INT,SOC,Social Sciences,7,HIS,History,INT,,Understand how people’s interpretations of events that are of significance to New Zealanders differ.
SOC7-GEO-PRO,SOC,Social Sciences,7,GEO,Geography,PRO,,"Understand how the processes that shape natural and cultural environments change over time, vary in scale and from place to place, and create spatial patterns."
SOC7-GEO-PRE,SOC,Social Sciences,7,GEO,Geography,PRE,,Understand how people’s perceptions of and interactions with natural and cultural environments differ and have changed over time.
SOC7-ECO-ECO,SOC,Social Sciences,7,ECO,Economics,ECO,,Understand how economic concepts and models provide a means of analysing contemporary New Zealand issues.
SOC7-ECO-POL,SOC,Social Sciences,7,ECO,Economics,POL,,Understand how government policies and contemporary issues interact.
SOC8-SOC-POL,SOC,Social Sciences,8,SOC,Social Studies,POL,,"Understand how policy changes are influenced by and impact on the rights, roles, and responsibilities of individuals and communities."
SOC8-SOC-IDE,SOC,Social Sciences,8,SOC,Social Studies,IDE,,Understand how ideologies shape society and that individuals and groups respond differently to these beliefs.
SOC8-HIS-CAU,SOC,Social Sciences,8,HIS,History,CAU,,"Understand that the causes, consequences, and explanations of historical events that are of significance to New Zealanders are complex, and how and why they are contested."
SOC8-HIS-TRE,SOC,Social Sciences,8,HIS,History,TRE,,"Understand how trends over time reflect social, economic, and political forces."
SOC8-GEO-PRO,SOC,Social Sciences,8,GEO,Geography,PRO,,"Understand how interacting processes shape natural and cultural environments, occur at different rates and on different scales, and create spatial variations."
SOC8-GEO-DIV,SOC,Social Sciences,8,GEO,Geography,DIV,,"Understand how people’s diverse values and perceptions influence the environmental, social, and economic decisions and responses that they make."
SOC8-ECO-MAR,SOC,Social Sciences,8,ECO,Economics,MAR,,Understand that well-functioning markets are efficient but that governments may need to intervene where markets fail to deliver efficient or equitable outcomes.
SOC8-ECO-NAT,SOC,Social Sciences,8,ECO,Economics,NAT,,Understand how the nature and size of the New Zealand economy is influenced by interacting internal and external factors.
SCI1-NAT-UND,SCI,Science,1,NAT,Nature of Science,UND,Understanding about science,Appreciate that scientists ask questions about our world that lead to investigations and that open-mindedness is important because there may be more than one explanation.
SCI1-NAT-INV,SCI,Science,1,NAT,Nature of Science,INV,Investigating in science,"Extend their experiences and personal explanations of the natural world through exploration, play, asking questions, and discussing simple models."
SCI1-NAT-COM,SCI,Science,1,NAT,Nature of Science,COM,Communicating in science,Build their language and develop their understandings of the many ways the natural world can be represented.
SCI1-NAT-LIF,SCI,Science,1,NAT,Nature of Science,LIF,Participating and contributing,Explore and act on issues and questions that link their science learning to their daily living.
SCI1-LIV-LIF,SCI,Science,1,LIV,Living World,LIF,Life processes,Recognise that all living things have certain requirements so they can stay alive.
SCI1-LIV-ECO,SCI,Science,1,LIV,Living World,ECO,Ecology,Recognise that living things are suited to their particular habitat.
SCI1-LIV-EVO-1,SCI,Science,1,LIV,Living World,EVO-1,Evolution,Recognise that there are lots of different living things in the world and that they can be grouped in different ways.
SCI1-LIV-EVO-2,SCI,Science,1,LIV,Living World,EVO-2,Evolution,Explain how we know that some living things from the past are now extinct.
SCI1-PLA-EAR,SCI,Science,1,PLA,Planet Earth and Beyond,EAR,Earth systems,Explore and describe natural features and resources.
SCI1-PLA-INT,SCI,Science,1,PLA,Planet Earth and Beyond,INT,Interacting systems,Describe how natural features are changed and resources affected by natural events and human actions.
SCI1-PLA-AST,SCI,Science,1,PLA,Planet Earth and Beyond,AST,Astronomical systems,Share ideas and observations about the Sun and the Moon and their physical effects on the heat and light available to Earth.
SCI1-PHY-INQ-1,SCI,Science,1,PHY,Physical World,INQ-1,Physical inquiry and physics concepts,"Explore everyday examples of physical phenomena, such as movement, forces, electricity and magnetism, light, sound, waves, and heat."
SCI1-PHY-INQ-2,SCI,Science,1,PHY,Physical World,INQ-2,Physical inquiry and physics concepts,Seek and describe simple patterns in physical phenomena.
SCI1-MAT-PRO,SCI,Science,1,MAT,Material World,PRO,Properties and changes of matter,"Observe, describe, and compare physical and chemical properties of common materials and changes that occur when materials are mixed, heated, or cooled."
SCI1-MAT-CHE,SCI,Science,1,MAT,Material World,CHE,Chemistry and society,Find out about the uses of common materials and relate these to their observed properties.
SCI2-NAT-UND,SCI,Science,2,NAT,Nature of Science,UND,Understanding about science,Appreciate that scientists ask questions about our world that lead to investigations and that open-mindedness is important because there may be more than one explanation.
SCI2-NAT-INV,SCI,Science,2,NAT,Nature of Science,INV,Investigating in science,"Extend their experiences and personal explanations of the natural world through exploration, play, asking questions, and discussing simple models."
SCI2-NAT-COM,SCI,Science,2,NAT,Nature of Science,COM,Communicating in science,Build their language and develop their understandings of the many ways the natural world can be represented.
SCI2-NAT-LIF,SCI,Science,2,NAT,Nature of Science,LIF,Participating and contributing,Explore and act on issues and questions that link their science learning to their daily living.
SCI2-LIV-LIF,SCI,Science,2,LIV,Living World,LIF,Life processes,Recognise that all living things have certain requirements so they can stay alive.
SCI2-LIV-ECO,SCI,Science,2,LIV,Living World,ECO,Ecology,Recognise that living things are suited to their particular habitat.
SCI2-LIV-EVO-1,SCI,Science,2,LIV,Living World,EVO-1,Evolution,Recognise that there are lots of different living things in the world and that they can be grouped in different ways.
SCI2-LIV-EVO-2,SCI,Science,2,LIV,Living World,EVO-2,Evolution,Explain how we know that some living things from the past are now extinct.
SCI2-PLA-EAR,SCI,Science,2,PLA,Planet Earth and Beyond,EAR,Earth systems,Explore and describe natural features and resources.
SCI2-PLA-INT,SCI,Science,2,PLA,Planet Earth and Beyond,INT,Interacting systems,Describe how natural features are changed and resources affected by natural events and human actions.
SCI2-PLA-AST,SCI,Science,2,PLA,Planet Earth and Beyond,AST,Astronomical systems,Share ideas and observations about the Sun and the Moon and their physical effects on the heat and light available to Earth.
SCI2-PHY-INQ-1,SCI,Science,2,PHY,Physical World,INQ-1,Physical inquiry and physics concepts,"Explore everyday examples of physical phenomena, such as movement, forces, electricity and magnetism, light, sound, waves, and heat."
SCI2-PHY-INQ-2,SCI,Science,2,PHY,Physical World,INQ-2,Physical inquiry and physics concepts,Seek and describe simple patterns in physical phenomena.
SCI2-MAT-PRO,SCI,Science,2,MAT,Material World,PRO,Properties and changes of matter,"Observe, describe, and compare physical and chemical properties of common materials and changes that occur when materials are mixed, heated, or cooled."
SCI2-MAT-CHE,SCI,Science,2,MAT,Material World,CHE,Chemistry and society,Find out about the uses of common materials and relate these to their observed properties.
SCI3-NAT-UND,SCI,Science,3,NAT,Nature of Science,UND,Understanding about science,Appreciate that science is a way of explaining the world and that science knowledge changes over time.
SCI3-NAT-INV,SCI,Science,3,NAT,Nature of Science,INV,Understanding about science,Identify ways in which scientists work together and provide evidence to support their ideas.
SCI3-NAT-COM,SCI,Science,3,NAT,Nature of Science,COM,Investigating in science,"Build on prior experiences, working together to share and examine their own and others’ knowledge."
SCI3-NAT-LIF,SCI,Science,3,NAT,Nature of Science,LIF,Investigating in science,"Ask questions, find evidence, explore simple models, and carry out appropriate investigations to develop simple explanations."
SCI3-NAT-COM-1,SCI,Science,3,NAT,Nature of Science,COM-1,Communicating in science,"Begin to use a range of scientific symbols, conventions, and vocabulary."
SCI3-NAT-COM-2,SCI,Science,3,NAT,Nature of Science,COM-2,Communicating in science,Engage with a range of science texts and begin to question the purposes for which these texts are constructed.
SCI3-NAT-PAR-1,SCI,Science,3,NAT,Nature of Science,PAR-1,Participating and contributing,Use their growing science knowledge when considering issues of concern to them.
SCI3-NAT-PAR-2,SCI,Science,3,NAT,Nature of Science,PAR-2,Participating and contributing,Explore various aspects of an issue and make decisions about possible actions.
SCI3-LIV-LIF,SCI,Science,3,LIV,Living World,LIF,Life processes,Recognise that there are life processes common to all living things and that these occur in different ways.
SCI3-LIV-ECO,SCI,Science,3,LIV,Living World,ECO,Ecology,"Explain how living things are suited to their particular habitat and how they respond to environmental changes, both natural and human-induced."
SCI3-LIV-EVO-1,SCI,Science,3,LIV,Living World,EVO-1,Evolution,"Begin to group plants, animals, and other living things into science-based classifications."
SCI3-LIV-ECO-2,SCI,Science,3,LIV,Living World,ECO-2,Evolution,Explore how the groups of living things we have in the world have changed over long periods of time and appreciate that some living things in New Zealand are quite different from living things in other areas of the world.
SCI3-PLA-EAR,SCI,Science,3,PLA,Planet Earth and Beyond,EAR,Earth systems,"Appreciate that water, air, rocks and soil, and life forms make up our planet and recognise that these are also Earth’s resources."
SCI3-PLA-INT,SCI,Science,3,PLA,Planet Earth and Beyond,INT,Interacting systems,"Investigate the water cycle and its effect on climate, landforms, and life."
SCI3-PLA-AST,SCI,Science,3,PLA,Planet Earth and Beyond,AST,Astronomical systems,"Investigate the components of the solar system, developing an appreciation of the distances between them."
SCI3-PHY-INQ,SCI,Science,3,PHY,Physical World,INQ,Physical inquiry and physics concepts,"Explore, describe, and represent patterns and trends for everyday examples of physical phenomena, such as movement, forces, electricity and magnetism, light, sound, waves, and heat. For example, identify and describe the effect of forces (contact and non-contact) on the motion of objects; identify and describe everyday examples of sources of energy, forms of energy, and energy transformations."
SCI3-MAT-PRO-1,SCI,Science,3,MAT,Material World,PRO-1,Properties and changes of matter,"Group materials in different ways, based on the observations and measurements of the characteristic chemical and physical properties of a range of different materials."
